,Name,Year,Global_Sales
175,Adidas Power Soccer,1996.0,0.04
176,Adidas Power Soccer 98,1998.0,0.02
177,Adrenalin Misfits,2010.0,0.14
178,Advance Guardian Heroes,2004.0,0.04
179,Advance Wars,2001.0,0.7
180,Advance Wars 2: Black Hole Rising,2003.0,0.65
181,Advance Wars: Dual Strike,2005.0,0.4
182,Advent Rising,2005.0,0.13
183,Adventure Island,1986.0,1.05
184,Adventure Time: Explore the Dungeon Because I Don't Know!,2013.0,0.30000000000000004
185,Adventure Time: Finn & Jake Investigations,2015.0,0.45
186,Adventure Time: The Secret of the Nameless,2014.0,0.03
187,Adventure Time: The Secret of the Nameless Kingdom,2014.0,0.16999999999999998
188,Adventures of Lolo,1989.0,0.06
189,Adventures of Tron,1981.0,0.67
190,Adventures to Go!,2008.0,0.13
191,Aedis Eclipse: Generation of Chaos,2006.0,0.02
192,Aegis of Earth: Protonovus Assault,2016.0,0.09000000000000001
193,Aeon Flux,2005.0,0.05
194,Aero Elite: Combat Academy,2002.0,0.07
195,Aero Gauge,1997.0,0.07
196,AeroFighters Assault,1997.0,0.19
197,Afrika,2008.0,0.21
198,Afro Samurai,2009.0,0.44
199,After Hours Athletes,2011.0,0.12
200,Again,2009.0,0.07
201,Agassi Tennis Generation,2003.0,0.09
202,Agatha Christie's The ABC Murders,2016.0,0.02
203,Agatha Christie: And Then There Were None,2008.0,0.08
204,Agatha Christie: Death on the Nile,2008.0,0.02
205,Agatha Christie: Evil Under the Sun,2008.0,0.09
206,Agatha Christie: Peril at End House,2009.0,0.01
207,Agatha Christie: The ABC Murders,2009.0,0.1
208,Agatha Christie: The ABC Murders,2016.0,0.02
209,Age of Conan: Rise of the Godslayer,2010.0,0.03
210,Age of Empires II: The Age of Kings,1999.0,0.1
211,Age of Empires III,2005.0,0.39
212,Age of Empires III: Complete Collection,2009.0,0.17
213,Age of Empires III: Gold Edition,2007.0,0.03
214,Age of Empires III: The Asian Dynasties,2007.0,0.07
215,Age of Empires Online,2011.0,0.06
216,Age of Empires: Collector's Edition,2000.0,0.14
217,Age of Empires: Mythologies,2008.0,0.22
218,Age of Empires: The Age of Kings,2006.0,0.23
219,Age of Mythology,2002.0,0.09
220,Age of Mythology: The Titans,2003.0,0.04
221,Aggressive Inline,2002.0,0.47
222,Agile Warrior F-111X,1995.0,0.14
223,Aibou DS,2009.0,0.08
224,Aidyn Chronicles: The First Mage,2001.0,0.1
225,Aikatsu! 2-nin no My Princess,2013.0,0.26
226,Aikatsu! 365 Idol Days,2014.0,0.13
227,Aikatsu! Cinderella Lesson,2012.0,0.2
228,Aikatsu! My No.1 Stage!,2015.0,0.07
229,Ailu de Puzzle,2012.0,0.04
230,Air Combat,1995.0,1.83
231,Air Conflicts: Aces of World War II,2009.0,0.05
232,Air Conflicts: Secret Wars,2011.0,0.30000000000000004
233,Air Raid,1981.0,0.77
234,Air Traffic Chaos,2007.0,0.05
235,AirForce Delta Storm,2001.0,0.18
236,AirForce Delta Storm,2002.0,0.02
237,AirForce Delta Strike,2004.0,0.11
238,Airblade,2001.0,0.23
239,Airborne Troops: Countdown to D-Day,2005.0,0.12
240,Airline Tycoon,2000.0,0.02
241,Airline Tycoon 2,2011.0,0.05
242,Airlock,1981.0,0.39
243,Airport Simulator,2011.0,0.02
244,Airship Q,2015.0,0.03
